stoichiometry,U_R3m_V,U_C2m_V,U_fraction_weighted_V
0.01,4.586722862089477,4.578367434507371,4.583380691056634
0.011636060100166944,4.5763703420306605,4.5666479162798606,4.5724813717303405
0.01327212020033389,4.566017821971844,4.554928398052351,4.561582052404047
0.014908180300500834,4.555665301913027,4.543208879824843,4.550682733077753
0.01654424040066778,4.54531278185421,4.531489361597334,4.53978341375146
0.018180300500834724,4.534960261795393,4.519769843369825,4.528884094425166
0.01981636060100167,4.524607741736577,4.508050325142316,4.517984775098872
0.021452420701168616,4.514255221677759,4.496330806914807,4.507085455772579
0.02308848080133556,4.503902701618943,4.484611288687301,4.496186136446286
0.0247245409015025,4.493550181560126,4.472891770459797,4.485286817119994
0.026360601001669447,4.483197661501309,4.461172252232293,4.474387497793703
0.027996661101836393,4.472845141442492,4.449452734004792,4.463488178467412
0.02963272120200334,4.462492621383675,4.437733215777303,4.452588859141127
0.031268781302170284,4.452140101324859,4.426013697549856,4.441689539814858
0.03290484140233723,4.441787581266042,4.414294179322537,4.430790220488641
0.03454090150250417,4.431435061207225,4.402574661095579,4.419890901162566
0.036176961602671115,4.421082541148408,4.390855142869673,4.408991581836914
0.03781302170283806,4.4107300210895914,4.379135624646687,4.39809226251243
0.03944908180300501,4.400377501030775,4.367416106431807,4.387192943191188
0.04108514190317195,4.390024980971958,4.355696588238514,4.37629362387858
0.0427212020033389,4.379672460913142,4.3439770701023335,4.365394304588818
0.044357262103505844,4.369319940854324,4.332257552112377,4.354494985357546
0.04599332220367279,4.358967420795508,4.320538034491231,4.343595666273798
0.04762938230383973,4.34861490073669,4.308818517777268,4.332696347552921
0.049265442404006675,4.3382623806778735,4.297099003245011,4.321797029704728
0.05090150250417362,4.327909860619058,4.285379493867486,4.310897713918429
0.05253756260434057,4.31755734056024,4.273659996310674,4.299998402860414
0.05417362270450751,4.307204820501424,4.261940525574143,4.289099102530512
0.05580968280467446,4.296852300442606,4.250221113484383,4.278199825659317
0.0574457429048414,4.28649978038379,4.2385018291435275,4.267300599887685
0.05908180300500834,4.276147260324973,4.226782811372416,4.256401480743951
0.06071786310517529,4.2657947402661565,4.215064349989075,4.245502584155323
0.062353923205342235,4.25544222020734,4.203346999874374,4.234604132074153
0.06398998330550917,4.245089700148522,4.191631860288075,4.223706564204344
0.06562604340567613,4.234737180089706,4.179920954627822,4.212810689904952
0.06726210350584307,4.224384660030889,4.1682180638787045,4.201918021570015
0.06889816360601,4.214032139972073,4.156529853154376,4.191031225244994
0.07053422370617696,4.203679619913256,4.144868020685978,4.180154980222345
0.0721702838063439,4.1933270998544385,4.13325203187407,4.169297072662291
0.07380634390651084,4.182974579795622,4.1217137225719584,4.158470236906156
0.07544240400667779,4.172622059736805,4.110301026755688,4.147693646544358
0.07707846410684473,4.162269539677989,4.099085806137409,4.136996046261757
0.07871452420701168,4.151917019619171,4.0881610139657605,4.126414617357807
0.08035058430717862,4.141564499560355,4.077638895244149,4.115994257833872
0.08198664440734557,4.131211979501537,4.067638441465948,4.105782564287301
