stoichiometry,U_R3m_V,U_C2m_V,U_fraction_weighted_V
0.01,3.0922503103102166,4.602543289107302,3.6963675018290507
0.011636060100166944,3.0909730601587233,4.599666193915006,3.6944503136612363
0.01327212020033389,3.089693286844266,4.596783414770383,3.6925293380147126
0.014908180300500834,3.088410996799841,4.593894966137762,3.6906045845350093
0.01654424040066778,3.0871258447153718,4.59100007009153,3.688675534865835
0.018180300500834724,3.0858380376531445,4.588099193047311,3.686742499810811
0.01981636060100167,3.08454772293191,4.585192666837364,3.684805700494092
0.021452420701168616,3.083254700685816,4.582280041161185,3.6828648368759636
0.02308848080133556,3.0819589580124163,4.579361286893656,3.6809198895649122
0.0247245409015025,3.0806607812175386,4.576437048968156,3.6789712883177854
0.026360601001669447,3.079360115178578,4.5735072031394735,3.6770189503629362
0.027996661101836393,3.0780567440971462,4.570571263159249,3.6750625517219877
0.02963272120200334,3.076751080611584,4.567630158571231,3.673102711795443
0.031268781302170284,3.0754431809520137,4.564684015975432,3.6711395149613812
0.03290484140233723,3.074132728038898,4.561732120879714,3.6691724851752245
0.03454090150250417,3.0728201715033765,4.558775486186182,3.6672022973764986
0.036176961602671115,3.071505609740194,4.555814333467033,3.6652290992309298
0.03781302170283806,3.070188884055812,4.552848305000602,3.663252652433728
0.03944908180300501,3.068870241514142,4.549877957294303,3.6612733278262066
0.04108514190317195,3.0675498892880544,4.5469037569922435,3.65929143636973
0.0427212020033389,3.066227803771431,4.543925650678743,3.6573069425343556
0.044357262103505844,3.064904079973594,4.540943852190018,3.6553199888601635
0.04599332220367279,3.0635789994299993,4.537958995746988,3.653330997956795
0.04762938230383973,3.0622526399491456,4.5349712564158144,3.6513400865358134
0.049265442404006675,3.0609250110623445,4.531980655246786,3.649347268736121
0.05090150250417362,3.0595964253789334,4.528987896566518,3.647353013853967
0.05253756260434057,3.0582670106844443,4.525993268057992,3.6453575136338636
0.05417362270450751,3.0569367978679534,4.522996838636669,3.6433608141754394
0.05580968280467446,3.0556060527202624,4.519999207221688,3.6413633145208326
0.0574457429048414,3.054274919792879,4.517000699260217,3.6393652315798146
0.05908180300500834,3.052943521803574,4.514001590520397,3.6373667492903037
0.06071786310517529,3.0516120397644393,4.511002288679949,3.6353681393306427
0.062353923205342235,3.050280625228486,4.508003135080074,3.6333696291691213
0.06398998330550917,3.048949443767144,4.505004502069302,3.631371467088007
0.06562604340567613,3.0476186742057596,4.502006791975659,3.6293739213137193
0.06726210350584307,3.0462884251544793,4.499010249605156,3.62737715493475
0.06889816360601,3.0449588548831468,4.496015230977837,3.625381405321023
0.07053422370617696,3.043630222298907,4.4930223181804445,3.623387060651522
0.0721702838063439,3.0423025447733063,4.490031550795405,3.621394147182146
0.07380634390651084,3.040975947279284,4.48704320993469,3.6194028523414463
