stoichiometry,U_R3m_V,U_C2m_V
0.01,4.5727971494526365,4.534501583616926
0.011636060100166944,4.560166299112667,4.5156053485492444
0.01327212020033389,4.547535448772697,4.496709113481563
0.014908180300500834,4.534904598432728,4.477812878413881
0.01654424040066778,4.522273748092759,4.4589166433462
0.018180300500834724,4.50964289775279,4.440020408278525
0.01981636060100167,4.4970120474128255,4.421124173210852
0.021452420701168616,4.4843811970728655,4.402227938143178
0.02308848080133556,4.471750346732919,4.383331703075507
0.0247245409015025,4.459119496393006,4.364435468007852
0.026360601001669447,4.446488646053183,4.34553923294024
0.027996661101836393,4.433857795713584,4.3266429978727325
0.02963272120200334,4.421226945374551,4.307746762805498
0.031268781302170284,4.408596095036903,4.288850527738937
0.03290484140233723,4.395965244702607,4.269954292674038
0.03454090150250417,4.38333439437628,4.251058057613198
0.036176961602671115,4.3707035440686015,4.232161822561999
0.03781302170283806,4.358072693803861,4.213265587533559
0.03944908180300501,4.345441843636381,4.194369352557537
0.04108514190317195,4.33281099368566,4.175473117701145
0.0427212020033389,4.3201801442101955,4.156576883111898
0.044357262103505844,4.30754929575991,4.1376806491119815
0.04599332220367279,4.294918449486976,4.118784416388059
0.04762938230383973,4.282287607764191,4.099888186384981
0.049265442404006675,4.269656775388411,4.0809919620930435
0.05090150250417362,4.257025961904938,4.0620957495721015
0.05253756260434057,4.244395185984246,4.043199561001707
0.05417362270450751,4.231764483528616,4.024303420142774
0.05580968280467446,4.2191339224054,4.005407373376531
0.0574457429048414,4.206503628721011,3.9865115077974353
0.05908180300500834,4.193873832781657,3.9676159883722173
0.06071786310517529,4.181244947925166,3.948721114005354
0.062353923205342235,4.16861770301879,3.9298274305971455
0.06398998330550917,4.155993360490125,3.9109358972532244
0.06562604340567613,4.143374067099033,3.8920481977490726
0.06726210350584307,4.13076340445322,3.873167198336355
0.06889816360601,4.118167228864006,3.8542977282648723
0.07053422370617696,4.105594909544574,3.835447726943093
0.0721702838063439,4.093061075462193,3.816629994575254
0.07380634390651084,4.080587933293095,3.7978646757364665
0.07544240400667779,4.068208066397005,3.77918268051838
0.07707846410684473,4.055967287256155,3.7606295383614
0.07871452420701168,4.043926573182642,3.742271034591493
0.08035058430717862,4.032164903429325,3.7241953609698535
0.08198664440734557,4.020768189657264,3.70651521069576
0.08362270450751251,4.009831097963072,3.6893642134279254
0.08525876460767945,3.9994405517350455,3.672883007025107
0.0868948247078464,3.9896593800067532,3.6572071204028775
0.08853088480801334,3.9805264539934178,3.6424396062377613
0.0901669449081803,3.972047212717018,3.6286494110203518
0.09180300500834723,3.9642126098683113,3.615852357577908
0.09343906510851419,3.956979284279229,3.604029384282681
0.09507512520868112,3.950301825723854,3.5931288826540775
0.09671118530884806,3.9441341060103294,3.5830778848050566
0.09834724540901502,3.938419029276806,3.5738072392329356
0.09998330550918196,3.9331140070851034,3.56523089415314
0.10161936560934891,3.9281737472556006,3.5572817767008544
0.10325542570951585,3.9235522086405736,3.549885054873033
0.10489148580968279,3.919225983829905,3.5429816225529027
0.10652754590984974,3.9151522837685047,3.536515176586131
0.10816360601001668,3.9113093352115684,3.530447296771085
0.10979966611018363,3.9076760270228714,3.524727736586843
0.11143572621035057,3.9042321193248695,3.5193227619520884
0.11307178631051752,3.9009584048524766,3.5142012377807004
0.11470784641068446,3.8978368260687284,3.5093336669869446
0.1163439065108514,3.8948505525413486,3.504702104016311
0.11797996661101835,3.8919973598648347,3.500278800751097
0.11961602671118529,3.88925855048644,3.496050897840329
0.12125208681135224,3.8866279178387857,3.491996029019891
0.12288814691151918,3.8840935896206616,3.488102147811652
0.12452420701168614,3.881656149392095,3.4843593854074433
0.12616026711185307,3.879297900507489,3.480754057107755
0.12779632721202003,3.87701823741461,3.477274870165365
0.12943238731218698,3.8748171693095297,3.4739163393698598
0.1310684474123539,3.872681847272284,3.4706674315789603
0.13270450751252086,3.870608820727968,3.4675196012214378
0.1343405676126878,3.8685947885514627,3.4644648476499302
0.13597662771285476,3.866636595926583,3.4615021166549593
0.1376126878130217,3.86473123094251,3.458623819450961
0.13924874791318864,3.862875820973047,3.455819863942345
0.1408848080133556,3.8610676288804124,3.4530965999880108
0.14252086811352255,3.859304049081585,3.4504365218314903
0.14415692821368947,3.857582603511683,3.447848985943499
0.14579298831385643,3.8559009375154814,3.445319177226739
0.14742904841402338,3.8542568156949746,3.442850052510778
0.1490651085141903,3.8526481177379077,3.4404381213773134
0.15070116861435726,3.8510728342493703,3.438076112783824
0.1523372287145242,3.849529062605936,3.435766638425082
0.15397328881469116,3.8480150028494,3.4335069076595035
0.1556093489148581,3.84652895363493,3.431291123493185
0.15724540901502504,3.845073932122269,3.429117710131109
0.158881469115192,3.8436473951151813,3.426986404432157
0.16051752921535892,3.8422446885948505,3.424897959669918
0.16215358931552587,3.8408644160772347,3.422846808928104
0.16378964941569282,3.8395055802815636,3.420831607241146
0.16542570951585978,3.838176460895707,3.4188510553542897
0.1670617696160267,3.8368662637337265,3.41690389849608
0.16869782971619365,3.8355738585010193,3.4149889251670955
0.1703338898163606,3.834302266263533,3.4131049659461143
0.17196994991652753,3.833053829712539,3.4112508923147646
0.17360601001669448,3.8318202593448536,3.4094256155015863
0.17524207011686144,3.830602264732456,3.407628085346296
0.1768781302170284,3.829408175105714,3.40585728918494
0.17851419031719531,3.828226392197895,3.4041122507565227
0.18015025041736227,3.827058605766054,3.402392029131578
0.18178631051752922,3.825912273106338,3.4006957176630928
0.18342237061769615,3.824776020346921,3.399022442960072
0.1850584307178631,3.82365526264138,3.3973713638839893
0.18669449081803005,3.822550848103255,3.3957416705682713
0.18833055091819698,3.821454587975074,3.3941325834609226
0.18996661101836393,3.820377876747393,3.3925433523903115
0.19160267111853088,3.8193102248538806,3.3909732556541083
0.19323873121869783,3.8182544767676325,3.389421791214579
0.19487479131886476,3.8172136121203852,3.387891495378354
0.1965108514190317,3.8161781879305035,3.3863785054086715
0.19814691151919867,3.8151623559093846,3.384882189890157
0.1997829716193656,3.8141510202814652,3.3834019422363086
0.20141903171953254,3.813154183020812,3.381937179895935
0.2030550918196995,3.8121653934601616,3.380487949495874
0.20469115191986645,3.8111869355125663,3.379057238072024
0.20632721202003337,3.8102192403704,3.377640497315903
0.20796327212020033,3.809258565496814,3.376237221264912
0.20959933222036728,3.8083105996200572,3.3748469248290247
0.2112353923205342,3.8073671301367873,3.373471718364295
0.21287145242070116,3.8064376106975972,3.3721114405092383
0.2145075125208681,3.8055107868405478,3.370762848280158
0.21614357262103506,3.8045985093416532,3.369425523411135
0.217779632721202,3.803687788647745,3.3681016856024257
0.21941569282136894,3.8027916230993766,3.3667916050684243
0.2210517529215359,3.8018964798050154,3.365491649343333
0.22268781302170282,3.801015367068938,3.364201460255525
0.22432387312186977,3.800135291525376,3.362925682676955
0.22595993322203672,3.7992682398213318,3.361660239222825
0.22759599332220368,3.798402737926712,3.3604035567513195
0.2292320534223706,3.7975488194964324,3.3591580839746986
0.23086811352253755,3.7966974121442822,3.3579245119620302
