stoichiometry,U_R3m_V,U_C2m_V,U_effective_V,dUdx_R3m_from_sech2,dUdx_C2m_from_sech2,dUdx_effective_from_sech2,relative_dQdV_effective
0.01,4.65,3.564106481756391,4.237360463067429,-4.137161378503936,-2.744188582211004,-3.6078317159126216,-0.2771747904951948
0.011636060100166944,4.65,3.5596177885402827,4.235654759645307,-4.136461385867413,-2.7429980640306098,-3.606945323569428,-0.27724290508800986
0.01327212020033389,4.65,3.555131102145334,4.233949818815227,-4.135701816825857,-2.7417346251139088,-3.605994283975317,-0.277316024721365
0.014908180300500834,4.65,3.5506465454821448,4.232245687283215,-4.1348776050182945,-2.7403938111817823,-3.6049737633604195,-0.2773945292372497
0.01654424040066778,4.65,3.546164248968096,4.230542414607877,-4.133983254088717,-2.7389708972237057,-3.6038785584800124,-0.27747882837144333
0.018180300500834724,4.65,3.541684350983475,4.2288400533737205,-4.133012801348159,-2.7374608712063497,-3.6027030678942715,-0.27756936421199035
0.01981636060100167,4.65,3.5372069983550425,4.227138659374916,-4.131959778394266,-2.7358584168222957,-3.601441260996917,-0.2776666138720223
0.021452420701168616,4.65,3.532732346868644,4.225438291810084,-4.130817168438642,-2.7341578952249024,-3.600086644617421,-0.27777109239721354
0.02308848080133556,4.65,3.5282605618125693,4.2237390134887765,-4.129577360072765,-2.7323533256926726,-3.5986322270083297,-0.27788335593029895
0.0247245409015025,4.65,3.5237918185534625,4.222040891050316,-4.1282320971822415,-2.7304383651636703,-3.5970704790151844,-0.27800400515749213
0.026360601001669447,4.65,3.519326303146684,4.22034399519574,-4.126772424696874,-2.7284062865776826,-3.5953932922115817,-0.2781336890643428
0.027996661101836393,4.65,3.5148642129831247,4.218648400933588,-4.125188629840063,-2.726249955960857,-3.593591933765965,-0.27827310903161817
0.02963272120200334,4.65,3.510405757474583,4.216954187840342,-4.123470178515751,-2.7239618081845087,-3.5916569977898787,-0.2784230233052178
0.031268781302170284,4.65,3.5059511587799403,4.215261440336377,-4.121605646444008,-2.721533821326736,-3.5895783528994447,-0.27858425187801245
0.03290484140233723,4.65,3.501500652574471,4.213570247978299,-4.1195826446278145,-2.718957489562289,-3.587345085702915,-0.27875768182587796
0.03454090150250417,4.65,3.497054488864769,4.211880705768612,-4.117387738703234,-2.7162237945029952,-3.584945439907143,-0.2789442731451729
0.036176961602671115,4.65,3.4926129328518765,4.210192914483713,-4.115006361693306,-2.713323174907795,-3.5823667507148116,-0.2791450651445623
0.03781302170283806,4.65,3.4881762658453677,4.208506981021239,-4.112422719652347,-2.710245494678248,-3.5795953741621895,-0.27936118345053224
